name,price,available,quantity
"Maison Asrar Vanilla Voyage 100ml(unissex)",290,true,12
"Maison Asrar Whisper 100ml(fem)",225,true,7
"Mawwal Arabia Sitar 100ml(fem)",215,true,12
"Mawwal Fantasy Raif 100ml(masc)",240,true,2
"Mayson Alhambra  Delilah blanc 100m(fem)",190,true,16
"Mayson Alhambra La Vivacite 100ml(fem)",135,true,
"Nusuk Raheeq 100ml(unissex)",265,true,5
"Oleo Concentrado Ameerati 12ml",105,true,12
"Oleo Concentrado Attar Al Wesal 12ml",105,true,12
"Oleo Concentrado Durrat Al Aroos 12ml",105,true,12
"Oleo Concentrado Sabah Al Ward 12ml",105,true,10
"Oleo Concentrado Shagaf Al Ward 12ml",105,true,12
"Oleo Concentrado Sultan Al Lail 12ml",105,true,3
"Orientica Azure Fantasy 80ml(unissex)",490,true,6
"Orientica Desert Dusk 80ml(unissex)",430,true,2
"Orientica Rose Eclat 80ml(fem)",430,true,5
"Orientica Royal Amber 80ml(unisex)",420,true,5
"Paris Corner AZM 100ml(unissex)",275,true,36
"Paris Corner Emir Voux Zingy 100ml(unisex)",225,true,17
"Paris Corner Fayora 100ml(fem)",225,false,0
"Paris Corner Fayora Oshino 100ml(fem)",220,true,11
"Paris Corner Marshmallow Blush 100ml(fem)",250,true,8
"Paris Corner Memories of Summer 100ml(unissex)",160,true,12
"Paris Corner North Stag Expressions 100ml(masc)",225,true,3
"Paris Corner Taskeen Caramel Cascade 100ml(unissex)",150,true,5
"Rayhaan Ayka for Her 100ml",180,true,8
"Rayhaan Corium for Him 100ml",180,true,6
"Rayhaan Elixir 100ml(unissex)",185,true,10
"Rayhaan Imperia for Him 100ml",190,true,10
"Rayhaan Lion 100ml(masc)",190,true,3
"Rayhaan Nocturno Pour Homme 100ml",190,true,8
"Rayhaan Ocean Rush For Him 100ml",180,true,10
"Rayhaan Pretty in Pink For Her 100ml",180,true,9
"Rayhaan Valhalla 100ml(unissex)",190,true,10
"z Body Splash Ameerati  Bouquet Carmin 240ml",45,true,8
"z Body Splash Ameerati Doce Rosa 240ml",45,true,14
"z Body Splash Ameerati Encanto Persa 240ml",45,true,9
"z Body Splash Ameerati Flor do Deserto 240ml",45,true,17
"z Body Splash Ameerati Jardins do Oriente 240ml",45,true,10
"z Body Splash Ameerati Mel de Especiarias 240ml",45,true,14
"z Body Splash Ameerati Nectar de Pera 240ml",45,true,17
"z Body Splash Ameerati Perola do Deserto 240ml",45,true,20
"z Body Splash Ameerati Raro Elixir 240ml",45,true,20
"z Body Splash Ameerati Rosa Imperial 240ml",45,true,22
"z Body Splash Ameerati Sonho de Pistache 240ml",45,true,19
"z Body Splash Ameerati Sublime Cereja 240ml",45,true,20
"z Body Splash Ameerati Tesouro Do Oasis 240ml",45,true,21
"z Body Splash Ameerati Verde Supremo 240ml",45,true,19
"z Creme Corporal Ameerati Baunilha Selvagem 240ml",40,true,20
"z Creme Corporal Ameerati Bouquet Carmin 240ml",45,true,22
"z Creme Corporal Ameerati Doce Rosa 240ml",40,true,21
"z Creme Corporal Ameerati Encanto Persa 240ml",40,false,
"z Creme Corporal Ameerati Flor do Deserto 240ml",40,false,
"z Creme Corporal Ameerati Frescor de Lichia 240ml",40,true,23
"z Creme Corporal Ameerati Jardins do Oriente 240ml",40,false,
"z Creme Corporal Ameerati Mel de Especiarias 240ml",40,false,
"z Creme Corporal Ameerati Nectar de Pera 240ml",45,true,22
"z Creme Corporal Ameerati Perola do Deserto 240ml",40,false,
"z Creme Corporal Ameerati Raro Elixir 240ml",40,false,
"z Creme Corporal Ameerati Sonho de Pistache 240ml",40,true,22
"z Creme Corporal Ameerati Sublime Cereja 240ml",40,true,22
"z Creme Corporal Ameerati Tesouro do Oasis 240ml",40,false,
"z Creme Corporal Ameerati Verde Supremo",40,true,23
"z Decant 9am branco 5ml",20,true,
"z Decant 9am Dive 5ml",20,true,
"z Decant 9pm elixir 5ml",25,true,
"z Decant 9pm Night Out 5ml",33,true,
"z Decant 9pm preto 5ml",20,true,
"z Decant 9pm Rebel 5ml",25,true,
"z Decant Aether Extrait 5ml",30,true,
"z Decant Afaq Gold 5ml",20,true,
"z Decant Afeef 5ml",30,true,
"z Decant Ajwaa 5ml",25,true,
"z Decant Ajwad 5ml",15,true,
"z Decant Ajwad pink to pink 5ml",15,true,
"z Decant Al Layl 5ml ",15,true,
"z Decant Al Nashama Caprice 5ml",15,true,
"z Decant Al Noble Ameer 5ml",15,true,
"z Decant Al Noble Saffer 5ml",15,true,
"z Decant Al Noble Wazeer 5ml",15,true,
"z Decant Alpine 5ml ",15,true,
